ayr_scd1,typ_scd1,then_scd1,latest_scd1,ssch_scd1,pub_scd1,ctycd_scd1,cty_scd1,zipcd_scd1,dist_scd1,adr_scd1,nt_scd1,ayr_nt_scd1,tscs_lv7_scd1
110,高級中等學校,010301,010301,國立華僑高級中等學校,公立,01,新北市,220,板橋區,新北市板橋區大觀路一段32號,,,2
110,高級中等學校,011301,011301,私立淡江高中,私立,01,新北市,251,淡水區,新北市淡水區真理街26號,,,2
110,高級中等學校,011302,011302,私立康橋高中,私立,01,新北市,231,新店區,新北市新店區華城路800號,,,3
110,高級中等學校,011306,011306,私立金陵女中,私立,01,新北市,241,三重區,新北市三重區重新路五段656號,,,2
110,高級中等學校,011307,011307,新北市裕德高級中等學校,私立,01,新北市,236,土城區,新北市土城區擺接堡路1號,,,3
110,高級中等學校,011309,011309,財團法人南山高中,私立,01,新北市,235,中和區,新北市中和區廣福路41號,,,2
110,高級中等學校,011310,011310,財團法人恆毅高中,私立,01,新北市,242,新莊區,新北市新莊區中正路108號,,,2
110,高級中等學校,011311,011311,私立聖心女中,私立,01,新北市,249,八里區,新北市八里區龍米路一段263號,,,4
110,高級中等學校,011312,011312,私立崇義高中,私立,01,新北市,221,汐止區,新北市汐止區大同路三段68號,,,3
110,高級中等學校,011314,011314,財團法人中華高中,私立,01,新北市,236,土城區,新北市土城區城林路2號,,,3
110,高級中等學校,011315,011315,私立東海高中,私立,01,新北市,241,三重區,新北市三重區忠孝路三段93巷12號,,,2
110,高級中等學校,011316,011316,私立格致高中,私立,01,新北市,241,三重區,新北市三重區大智街260號,,,2
110,高級中等學校,011317,011317,私立醒吾高中,私立,01,新北市,244,林口區,新北市林口區粉寮路一段75巷80號,,,2
110,高級中等學校,011318,011318,私立徐匯高中,私立,01,新北市,247,蘆洲區,新北市蘆洲區中山一路1號,,,2
110,高級中等學校,011322,011322,新北市崇光高中,私立,01,新北市,231,新店區,新北市新店區三民路18號,,,3
110,高級中等學校,011323,011323,私立光仁高中,私立,01,新北市,220,板橋區,新北市板橋區中山路二段255巷18號,,,2
110,高級中等學校,011324,011324,私立竹林高中,私立,01,新北市,235,中和區,新北市中和區華新街143巷12號,,,2
110,高級中等學校,011325,011325,私立及人高中,私立,01,新北市,231,新店區,新北市新店區安興路1號,,,3
110,高級中等學校,011329,011329,財團法人辭修高中,私立,01,新北市,237,三峽區,新北市三峽區溪東路251號,,,3
110,高級中等學校,011330,011330,新北市林口康橋國際高中,私立,01,新北市,244,林口區,新北市林口區興林路55號,,,2
110,高級中等學校,011399,011399,私立時雨高中,私立,01,新北市,224,瑞芳區,新北市瑞芳區銅山里祈堂路217號,,,5
110,高級中等學校,011405,011405,私立樹人家商,私立,01,新北市,238,樹林區,新北市樹林區大安路216號,,,3
110,高級中等學校,011407,011407,私立復興商工,私立,01,新北市,234,永和區,新北市永和區秀朗路一段201號,,,1
110,高級中等學校,011408,011408,私立南強工商,私立,01,新北市,231,新店區,新北市新店區文化路42號,,,3
110,高級中等學校,011413,011413,私立穀保家商,私立,01,新北市,241,三重區,新北市三重區中正北路560巷38號,,,2
110,高級中等學校,011419,011419,私立開明工商,私立,01,新北市,231,新店區,新北市新店區寶中路49號,,,3
110,高級中等學校,011420,011420,私立智光商工,私立,01,新北市,234,永和區,新北市永和區中正路100號,,,1
110,高級中等學校,011421,011421,私立清傳高商,私立,01,新北市,241,三重區,新北市三重區五谷王北街141巷1號,,,2
110,高級中等學校,011426,011426,私立能仁家商,私立,01,新北市,231,新店區,新北市新店區文中路53巷10號,,,3
110,高級中等學校,011427,011427,私立豫章工商,私立,01,新北市,220,板橋區,新北市板橋區四川路一段391號,,,2
110,高級中等學校,011431,011431,私立莊敬工家,私立,01,新北市,231,新店區,新北市新店區民生路45號,,,3
110,高級中等學校,011432,011432,私立中華商海,私立,01,新北市,207,萬里區,新北市萬里區瑪鋉路15號,,,5
110,高級中等學校,011C71,011C71,私立光華高商進修學校,私立,01,新北市,220,板橋區,新北市板橋區南雅南路二段40號,,,2
110,高級中等學校,013303,013303,市立泰山高中,公立,01,新北市,243,泰山區,新北市泰山區辭修路7號,（102年1月1日改隸新北市政府）,,3
110,高級中等學校,013304,013304,市立板橋高中,公立,01,新北市,220,板橋區,新北市板橋區文化路一段25號,（102年1月1日改隸新北市政府）,,2
110,高級中等學校,013335,013335,市立新店高中,公立,01,新北市,231,新店區,新北市新店區中央路93號,（102年1月1日改隸新北市政府）,,3
110,高級中等學校,013336,013336,市立中和高中,公立,01,新北市,235,中和區,新北市中和區連城路460號,（102年1月1日改隸新北市政府）,,2
110,高級中等學校,013337,013337,市立新莊高中,公立,01,新北市,242,新莊區,新北市新莊區中平路135號,（102年1月1日改隸新北市政府）,,2
110,高級中等學校,013338,013338,市立新北高中,公立,01,新北市,241,三重區,新北市三重區三信路1號,（102年1月1日改隸新北市政府）,,2
110,高級中等學校,013339,013339,市立林口高中,公立,01,新北市,244,林口區,新北市林口區仁愛路二段173號,（102年1月1日改隸新北市政府）,,2
110,高級中等學校,013402,013402,市立瑞芳高工,公立,01,新北市,224,瑞芳區,新北市瑞芳區瑞芳街60號,（102年1月1日改隸新北市政府）,,5
110,高級中等學校,013430,013430,市立三重商工,公立,01,新北市,241,三重區,新北市三重區中正北路163號,（102年1月1日改隸新北市政府）,,2
110,高級中等學校,013433,013433,市立新北高工,公立,01,新北市,236,土城區,新北市土城區學府路一段241號,102年1月1日改隸新北市政府，並更名為市立新北高工,,3
110,高級中等學校,013434,013434,市立淡水商工,公立,01,新北市,251,淡水區,新北市淡水區商工路307號,（102年1月1日改隸新北市政府）,,2
110,高級中等學校,014302,014302,市立海山高中,公立,01,新北市,220,板橋區,新北市板橋區漢生東路215號,,,2
110,高級中等學校,014311,014311,市立三重高中,公立,01,新北市,241,三重區,新北市三重區集美街212號,,,2
110,高級中等學校,014315,014315,市立永平高中,公立,01,新北市,234,永和區,新北市永和區永平路205號,,,1
110,高級中等學校,014322,014322,市立樹林高中,公立,01,新北市,238,樹林區,新北市樹林區中華路8號,,,3
110,高級中等學校,014326,014326,市立明德高中,公立,01,新北市,237,三峽區,新北市三峽區中正路二段399號,,,3
110,高級中等學校,014332,014332,市立秀峰高中,公立,01,新北市,221,汐止區,新北市汐止區忠孝東路201號,,,3
110,高級中等學校,014338,014338,市立金山高中,公立,01,新北市,208,金山區,新北市金山區美田里文化二路2號,,,5
110,高級中等學校,014343,014343,市立安康高中,公立,01,新北市,231,新店區,新北市新店區安興路25號,,,3
110,高級中等學校,014347,014347,市立雙溪高中,公立,01,新北市,227,雙溪區,新北市雙溪區梅竹蹊3號,,,6
110,高級中等學校,014348,014348,市立石碇高中,公立,01,新北市,223,石碇區,新北市石碇區隆盛里八分寮45號,,,6
110,高級中等學校,014353,014353,市立丹鳳高中,公立,01,新北市,242,新莊區,新北市新莊區龍安路72號,,,2
110,高級中等學校,014356,014356,市立清水高中,公立,01,新北市,236,土城區,新北市土城區明德路一段72號,,,3
110,高級中等學校,014357,014357,市立三民高中,公立,01,新北市,247,蘆洲區,新北市蘆洲區三民路96號,,,2
110,高級中等學校,014362,014362,市立錦和高中,公立,01,新北市,235,中和區,新北市中和區錦和路163號,,,2
110,高級中等學校,014363,014363,市立光復高中,公立,01,新北市,220,板橋區,新北市板橋區光環路一段7號,102學年度光復國中(014563)改制完全中學,,2
110,高級中等學校,014364,014364,市立竹圍高中,公立,01,新北市,251,淡水區,新北市淡水區竹林路 35 號,101學年度市立竹圍國中(014564)改制為市立竹圍高中,,2
110,高級中等學校,014381,014381,市立北大高級中學,公立,01,新北市,237,三峽區,新北市三峽區大義路277號,103學年度原龍埔國民中學改制,,3
110,高級中等學校,014399,014399,市立豐珠中學,公立,01,新北市,228,貢寮區,新北市貢寮區美豐里雞母嶺街6-6號,,,6
110,高級中等學校,014439,014439,市立鶯歌工商,公立,01,新北市,239,鶯歌區,新北市鶯歌區中正三路154號,,,3
110,高級中等學校,014468,014468,市立樟樹國際實中,公立,01,新北市,221,汐止區,新北市汐止區樟樹二路135號,依新北市政府105年12月2日新北府教中字第10522647581號函及106年2月2日新北府教中字第1060118386號函，原新北市立樟樹國民中學改制為新北市立樟樹國際實創高級中等學校，並自106學年起招生。,,3
110,高級中等學校,020301,020301,國立蘭陽女中,公立,02,宜蘭縣,260,宜蘭市,宜蘭縣宜蘭市女中路二段355號,,,4
110,高級中等學校,020302,020302,國立宜蘭高中,公立,02,宜蘭縣,260,宜蘭市,宜蘭縣宜蘭市復興路三段8號,,,4
110,高級中等學校,020308,020308,國立羅東高中,公立,02,宜蘭縣,265,羅東鎮,宜蘭縣羅東鎮公正路324號,,,4
110,高級中等學校,020403,020403,國立宜蘭高商,公立,02,宜蘭縣,260,宜蘭市,宜蘭縣宜蘭市延平路50號,,,4
110,高級中等學校,020404,020404,國立羅東高商,公立,02,宜蘭縣,265,羅東鎮,宜蘭縣羅東鎮中山路4段360號,,,4
110,高級中等學校,020405,020405,國立蘇澳海事,公立,02,宜蘭縣,270,蘇澳鎮,宜蘭縣蘇澳鎮蘇港路213號,,,5
110,高級中等學校,020409,020409,國立頭城家商,公立,02,宜蘭縣,261,頭城鎮,宜蘭縣頭城鎮新興路111號,,,5
110,高級中等學校,021301,021301,私立慧燈高中,私立,02,宜蘭縣,264,員山鄉,宜蘭縣員山鄉枕山村枕山路117-60號,,,5
110,高級中等學校,024322,024322,縣立南澳高中,公立,02,宜蘭縣,272,南澳鄉,宜蘭縣南澳鄉蘇花路二段301號,,,7
110,高級中等學校,030305,030305,國立中央大學附屬中壢高中,公立,03,桃園市,320,中壢區,桃園市中壢區三光路115號,,,2
110,高級中等學校,030403,030403,國立臺北科技大學附屬桃園農工高級中等學校,公立,03,桃園市,330,桃園區,桃園市桃園區成功路二段144號,,,2
110,高級中等學校,031301,031301,私立漢英高中,私立,03,桃園市,325,龍潭區,桃園市龍潭區中正路佳安段446號,依教育部臺教授國字第1050033619號函，「泉僑學校財團法人桃園市泉僑高級中學」自105年5月7日改名為「泉僑學校財團法人桃園市漢英高級中等學校」,,3
110,高級中等學校,031309,031309,桃園市育達高中,私立,03,桃園市,324,平鎮區,桃園市平鎮區育達路160號,依教育部臺教授國字第1040148454號函，變更校名，自105年8月7日生效,,3
110,高級中等學校,031310,031310,私立六和高中,私立,03,桃園市,324,平鎮區,桃園市平鎮區陸光路180號,,,3
110,高級中等學校,031311,031311,桃園市復旦高中,私立,03,桃園市,324,平鎮區,桃園市平鎮區復旦路二段122號,依教育部臺教授國字第1050078515號函，變更校名，自105年8月7日生效,,3
110,高級中等學校,031312,031312,桃園市治平高中,私立,03,桃園市,326,楊梅區,桃園市楊梅區埔心中興路137號,依教育部臺教授國字第1050066261號函，變更校名，自105年8月7日生效,,3
110,高級中等學校,031313,031313,桃園市振聲高中,私立,03,桃園市,330,桃園區,桃園市桃園區復興路439號,依教育部臺教授國字第1040151372號函，變更校名，自105年8月7日生效,,2
110,高級中等學校,031317,031317,私立光啟高中,私立,03,桃園市,333,龜山區,桃園市龜山區自由街40號,,,3
110,高級中等學校,031318,031318,桃園市啟英高中,私立,03,桃園市,320,中壢區,桃園市中壢區中園路447號,依教育部臺教授國字第1050082200號函，變更校名，自105年8月1日生效,,2
110,高級中等學校,031319,031319,桃園市清華高中,私立,03,桃園市,327,新屋區,桃園市新屋區中華路658號,依教育部臺教授國字第1050078298號函，變更校名，自105年8月1日生效,,5
110,高級中等學校,031320,031320,桃園市新興高中,私立,03,桃園市,334,八德區,桃園市八德區永豐路563號,依教育部臺教授國字第1050054644號函，變更校名，自105年8月7日生效,,3
110,高級中等學校,031323,031323,私立至善高中,私立,03,桃園市,335,大溪區,桃園市大溪區康莊路645號,,,5
110,高級中等學校,031324,031324,桃園市大興高中,私立,03,桃園市,337,大園區,桃園市大園區永興路142號,依教育部臺教授國字第1050037800號函，變更校名，自105年8月1日生效,,3
110,高級中等學校,031326,031326,私立大華高中,私立,03,桃園市,326,楊梅區,桃園市楊梅區三民路二段200號,,,3
110,高級中等學校,031414,031414,私立成功工商,私立,03,桃園市,333,龜山區,桃園市龜山區新興里明德路162巷100號,,,3
110,高級中等學校,031415,031415,私立方曙商工,私立,03,桃園市,325,龍潭區,桃園市龍潭區上林里中原路一段50號,,,3
110,高級中等學校,031421,031421,私立永平工商,私立,03,桃園市,326,楊梅區,桃園市楊梅區(埔心)永平路480號,,,3
110,高級中等學校,033302,033302,市立龍潭高中,公立,03,桃園市,325,龍潭區,桃園市龍潭區神龍路155號,原國立龍潭高中，依據106年9月8日臺教授國部字第1060092576號函，核定改隸屬桃園市政府管轄(自107年1月1日生效)。,,3
110,高級中等學校,033304,033304,市立桃園高中,公立,03,桃園市,330,桃園區,桃園市桃園區成功路三段38號,原國立桃園高中，依據106年9月8日臺教授國部字第1060092576號函，核定改隸屬桃園市政府管轄(自107年1月1日生效)。,,2
110,高級中等學校,033306,033306,市立武陵高中,公立,03,桃園市,330,桃園區,桃園市桃園區中山路889號,原國立武陵高中，依據106年9月8日臺教授國部字第1060092576號函，核定改隸屬桃園市政府管轄(自107年1月1日生效)。,,2
110,高級中等學校,033316,033316,市立楊梅高中,公立,03,桃園市,326,楊梅區,桃園市楊梅區高獅路5號,原國立楊梅高中，依據106年9月8日臺教授國部字第1060092576號函，核定改隸屬桃園市政府管轄(自107年1月1日生效)。,,3
110,高級中等學校,033325,033325,市立陽明高中,公立,03,桃園市,330,桃園區,桃園市桃園區德壽街8號,原國立陽明高中，依據106年9月8日臺教授國部字第1060092576號函，核定改隸屬桃園市政府管轄(自107年1月1日生效)。,,2
110,高級中等學校,033327,033327,市立內壢高中,公立,03,桃園市,320,中壢區,桃園市中壢區成章四街120號,原國立內壢高中，依據106年9月8日臺教授國部字第1060092576號函，核定改隸屬桃園市政府管轄(自107年1月1日生效)。,,2
110,高級中等學校,033407,033407,市立中壢高商,公立,03,桃園市,320,中壢區,桃園市中壢區中央西路二段141巷100號,原國立中壢高商，依據106年9月8日臺教授國部字第1060092576號函，核定改隸屬桃園市政府管轄(自107年1月1日生效)。,,2
110,高級中等學校,033408,033408,市立中壢家商,公立,03,桃園市,320,中壢區,桃園市中壢區德育路36號,原國立中壢家商，依據106年9月8日臺教授國部字第1060092576號函，核定改隸屬桃園市政府管轄(自107年1月1日生效)。,,2
110,高級中等學校,034306,034306,市立南崁高中,公立,03,桃園市,338,蘆竹區,桃園市蘆竹區五福里仁愛路2段1號,配合103年12月25日桃園市改制為桃園市，縣立改隸市立,,3
110,高級中等學校,034312,034312,市立大溪高中,公立,03,桃園市,335,大溪區,桃園市大溪區康莊路641號,配合103年12月25日桃園市改制為桃園市，縣立改隸市立,,5
110,高級中等學校,034314,034314,市立壽山高中,公立,03,桃園市,333,龜山區,桃園市龜山區大同路23號,配合103年12月25日桃園市改制為桃園市，縣立改隸市立,,3
110,高級中等學校,034319,034319,市立平鎮高中,公立,03,桃園市,324,平鎮區,桃園市平鎮區環南路三段100號,配合103年12月25日桃園市改制為桃園市，縣立改隸市立,,3
110,高級中等學校,034332,034332,市立觀音高中,公立,03,桃園市,328,觀音區,桃園市觀音區新坡里中山路2段519號,配合103年12月25日桃園市改制為桃園市，縣立改隸市立,,5
110,高級中等學校,034335,034335,市立新屋高級中等學校,公立,03,桃園市,327,新屋區,桃園市新屋區中興路111號,,,5
110,高級中等學校,034347,034347,市立永豐高中,公立,03,桃園市,334,八德區,桃園市八德區永豐路609號,配合103年12月25日桃園市改制為桃園市，縣立改隸市立,,3
110,高級中等學校,034348,034348,市立羅浮高中,公立,03,桃園市,336,復興區,桃園市復興區羅浮里18號,,,7
110,高級中等學校,034399,034399,市立大園國際高中,公立,03,桃園市,337,大園區,桃園市大園區大成路二段8號,配合103年12月25日桃園市改制為桃園市，縣立改隸市立,,3
110,矯正學校、軍警學校,03C301,03C301,敦品中學,公立,03,桃園市,330,桃園區,桃園市桃園區向善街98號,,,2
110,高級中等學校,040302,040302,國立竹東高中,公立,04,新竹縣,310,竹東鎮,新竹縣竹東鎮大林路2號,,,3
110,高級中等學校,040304,040304,國立關西高中,公立,04,新竹縣,306,關西鎮,新竹縣關西鎮東安里中山東路2號,,,5
110,高級中等學校,040308,040308,國立竹北高中,公立,04,新竹縣,302,竹北市,新竹縣竹北市中央路3號,,,2
110,高級中等學校,041303,041303,私立義民高中,私立,04,新竹縣,302,竹北市,新竹縣竹北市中正西路15號,,,2
110,高級中等學校,041305,041305,私立忠信高中,私立,04,新竹縣,304,新豐鄉,新竹縣新豐鄉忠信街178號,,,3
110,高級中等學校,041306,041306,私立東泰高中,私立,04,新竹縣,310,竹東鎮,新竹縣竹東鎮東峰路343號,,,3
110,高級中等學校,041307,041307,私立仰德高中,私立,04,新竹縣,304,新豐鄉,新竹縣新豐鄉員山村133號,,,3
110,高級中等學校,041401,041401,私立內思高工,私立,04,新竹縣,305,新埔鎮,新竹縣新埔鎮楊新路一段40號,,,5
110,高級中等學校,044311,044311,縣立六家高級中學,公立,04,新竹縣,302,竹北市,新竹縣竹北市嘉興路356號,,,2
110,高級中等學校,044320,044320,縣立湖口高中,公立,04,新竹縣,303,湖口鄉,新竹縣湖口鄉中正路二段263巷21號,,,3
110,矯正學校、軍警學校,04C301,04C301,誠正中學,公立,04,新竹縣,304,新豐鄉,新竹縣新豐鄉松柏村20鄰德昌街231號,,,3
110,高級中等學校,050303,050303,國立苗栗高中,公立,05,苗栗縣,360,苗栗市,苗栗縣苗栗市至公路183號,,,4
110,高級中等學校,050310,050310,國立竹南高中,公立,05,苗栗縣,350,竹南鎮,苗栗縣竹南鎮中正路98號,,,3
110,高級中等學校,050314,050314,國立卓蘭高中,公立,05,苗栗縣,369,卓蘭鎮,苗栗縣卓蘭鎮老庄里161號,依教育部臺教授國字第1050037384號函，變更校名，刪除「實驗」二字，自105年8月1日生效,,6
110,高級中等學校,050315,050315,國立苑裡高中,公立,05,苗栗縣,358,苑裡鎮,苗栗縣苑裡鎮育才街100號,,,5
110,高級中等學校,050401,050401,國立大湖農工,公立,05,苗栗縣,364,大湖鄉,苗栗縣大湖鄉大寮村竹高屋68號,,,6
110,高級中等學校,050404,050404,國立苗栗農工,公立,05,苗栗縣,360,苗栗市,苗栗縣苗栗市經國路二段491號,,,4
110,高級中等學校,050407,050407,國立苗栗高商,公立,05,苗栗縣,360,苗栗市,苗栗縣苗栗市電台街7號,,,4
110,高級中等學校,051302,051302,私立君毅高中,私立,05,苗栗縣,350,竹南鎮,苗栗縣竹南鎮公義路245號,,,3
110,高級中等學校,051305,051305,私立大成高中,私立,05,苗栗縣,351,頭份市,苗栗縣頭份市新華里下新店65號,,,3
110,高級中等學校,051306,051306,私立建臺高中,私立,05,苗栗縣,360,苗栗市,苗栗縣苗栗市福麗里至公路251號,,,4
110,高級中等學校,051307,051307,私立全人實驗高中,私立,05,苗栗縣,369,卓蘭鎮,苗栗縣卓蘭鎮內灣里內灣141-3號,,,6
110,高級中等學校,051408,051408,私立中興商工,私立,05,苗栗縣,350,竹南鎮,苗栗縣竹南鎮大營路211號,,,3
110,高級中等學校,051411,051411,私立育民工家,私立,05,苗栗縣,360,苗栗市,苗栗縣苗栗市水源里育民街37號,,,4
110,高級中等學校,051412,051412,私立賢德工商,私立,05,苗栗縣,357,通霄鎮,苗栗縣通霄鎮五北里74之1號,,,5
110,高級中等學校,051413,051413,私立龍德家商,私立,05,苗栗縣,358,苑裡鎮,苗栗縣苑裡鎮房裡里南房75之1號,,,5
110,高級中等學校,054308,054308,縣立三義高中,公立,05,苗栗縣,367,三義鄉,苗栗縣三義鄉廣盛村11鄰122號,102學年度三義國中(054508)改制綜合完全中學,,5
110,高級中等學校,054309,054309,縣立苑裡高中,公立,05,苗栗縣,358,苑裡鎮,苗栗縣苑裡鎮客庄里1鄰初中路2號,,,5
110,高級中等學校,054317,054317,縣立興華高中,公立,05,苗栗縣,351,頭份市,苗栗縣頭份市中正一路401號,,,3
110,高級中等學校,054333,054333,縣立大同高中,公立,05,苗栗縣,350,竹南鎮,苗栗縣竹南鎮大埔里六鄰公義路890號,,,3
110,高級中等學校,060322,060322,國立興大附中,公立,06,臺中市,412,大里區,臺中市大里區東榮路369號,原國立大里高級中學，自103年2月1日起改隸為中興大學附屬學校,,3
110,高級中等學校,060323,060323,國立中科實驗高級中學,公立,06,臺中市,428,大雅區,臺中市大雅區平和路227號,103學年度更改校址至臺中市大雅區平和路227號,,3
110,高級中等學校,061301,061301,財團法人常春藤高中,私立,06,臺中市,427,潭子區,臺中市潭子區潭興路一段165巷320號,,,3
110,高級中等學校,061306,061306,私立明台高中,私立,06,臺中市,413,霧峰區,臺中市霧峰區萊園路91號,,,5
110,高級中等學校,061309,061309,私立致用高中,私立,06,臺中市,437,大甲區,臺中市大甲區甲東路512號,,,5
110,高級中等學校,061310,061310,私立大明高中,私立,06,臺中市,412,大里區,臺中市大里區新仁路三段210號,,,3
110,高級中等學校,061311,061311,私立嘉陽高中,私立,06,臺中市,436,清水區,臺中市清水區中航路三段1號,,,5
110,高級中等學校,061313,061313,私立明道高中,私立,06,臺中市,414,烏日區,臺中市烏日區中山路一段497號,,,3
110,高級中等學校,061314,061314,私立僑泰高中,私立,06,臺中市,412,大里區,臺中市大里區樹王路342號,,,3
110,高級中等學校,061315,061315,私立華盛頓高中,私立,06,臺中市,411,太平區,臺中市太平區廍仔坑路26號(原弘仁),,,3
110,高級中等學校,061316,061316,私立青年高中,私立,06,臺中市,412,大里區,臺中市大里區中湖路100號,,,3
110,高級中等學校,061317,061317,私立弘文高中,私立,06,臺中市,427,潭子區,臺中市潭子區弘文街100號,,,3
110,高級中等學校,061318,061318,私立立人高中,私立,06,臺中市,412,大里區,臺中市大里區中興路二段380號,,,3
110,高級中等學校,061319,061319,私立玉山高中,私立,06,臺中市,423,東勢區,臺中市東勢區東崎路四段399號,,,6
110,高級中等學校,061321,061321,私立慈明高中,私立,06,臺中市,411,太平區,臺中市太平區光德路388號,,,3
110,高級中等學校,061322,061322,私立華德福大地實驗教育學校,私立,06,臺中市,414,烏日區,臺中市烏日區公園路36號,依臺中市政府教育局107年3月8日中市教小字第1070016731號函，同意申請設立。,,3
110,高級中等學校,063303,063303,市立大甲高中,公立,06,臺中市,437,大甲區,臺中市大甲區中山路一段720號,原國立大甲高中，依105年9月10日教育部臺教授國字第1050094126號函核定改隸屬臺中市政府管轄(自106年1月1日生效)。,,5
110,高級中等學校,063305,063305,市立清水高中,公立,06,臺中市,436,清水區,臺中市清水區中山路90號,原國立清水高中，依105年9月10日教育部臺教授國字第1050094126號函核定改隸屬臺中市政府管轄(自106年1月1日生效)。,,5
110,高級中等學校,063312,063312,市立豐原高中,公立,06,臺中市,420,豐原區,臺中市豐原區水源路150號,原國立豐原高中，依105年9月10日教育部臺教授國字第1050094126號函核定改隸屬臺中市政府管轄(自106年1月1日生效)。,,3
110,高級中等學校,063401,063401,市立豐原高商,公立,06,臺中市,420,豐原區,臺中市豐原區圓環南路50號,原國立豐原高商，依105年9月10日教育部臺教授國字第1050094126號函核定改隸屬臺中市政府管轄(自106年1月1日生效)。,,3
110,高級中等學校,063402,063402,市立大甲高工,公立,06,臺中市,437,大甲區,臺中市大甲區頂店里開元路71號,原國立大甲高工，依105年9月10日教育部臺教授國字第1050094126號函核定改隸屬臺中市政府管轄(自106年1月1日生效)。,,5
110,高級中等學校,063404,063404,市立東勢高工,公立,06,臺中市,423,東勢區,臺中市東勢區東關路6段1328號,原國立東勢高工，依105年9月10日教育部臺教授國字第1050094126號函核定改隸屬臺中市政府管轄(自106年1月1日生效)。,,6
110,高級中等學校,063407,063407,市立沙鹿高工,公立,06,臺中市,433,沙鹿區,臺中市沙鹿區臺灣大道7段823號,原國立沙鹿高工，依105年9月10日教育部臺教授國字第1050094126號函核定改隸屬臺中市政府管轄(自106年1月1日生效)。,,3
110,高級中等學校,063408,063408,市立霧峰農工,公立,06,臺中市,413,霧峰區,臺中市霧峰區中正路1222號,原國立霧峰農工，依105年9月10日教育部臺教授國字第1050094126號函核定改隸屬臺中市政府管轄(自106年1月1日生效)。,,5
110,高級中等學校,064308,064308,市立后綜高中,公立,06,臺中市,421,后里區,臺中市后里區廣福里三豐路三段968號,1.依105年9月10日教育部臺教授國字第1050094126號函，核定改隸，自106年1月1日生效。2.依105年12月1日臺中市政府府授教高字第1050263243號函，核定改隸後校名，自106年1月1日生效。,,5
110,高級中等學校,064324,064324,市立大里高中,公立,06,臺中市,412,大里區,臺中市大里區國中路365號,,,3
110,高級中等學校,064328,064328,市立新社高中,公立,06,臺中市,426,新社區,臺中市新社區復盛里中和街三段國中巷10號,,,6
110,高級中等學校,064336,064336,市立長億高中,公立,06,臺中市,411,太平區,臺中市太平區長億里長億六街1號,,,3
110,高級中等學校,064342,064342,市立中港高中,公立,06,臺中市,435,梧棲區,臺中市梧棲區文昌路400號,,,3
110,高級中等學校,064350,064350,市立龍津高中,公立,06,臺中市,434,龍井區,臺中市龍井區三港路130號,依臺中市政府106年1月12日府授教高字第1060000592號函，原臺中市立龍津國民中學(064550)改制為臺中市立龍津高級中等學校，並自106學年起招生。,,3
110,高級中等學校,064406,064406,市立神岡高工,公立,06,臺中市,429,神岡區,臺中市神岡區社南里中山路627號,,,5
110,高級中等學校,070301,070301,國立彰化女中,公立,07,彰化縣,500,彰化市,彰化縣彰化市光復路62號,,,4
110,高級中等學校,070304,070304,國立員林高中,公立,07,彰化縣,510,員林市,彰化縣員林市靜修路79號,,,4
110,高級中等學校,070307,070307,國立彰化高中,公立,07,彰化縣,500,彰化市,彰化縣彰化市介壽里中興路78號,,,4
110,高級中等學校,070316,070316,國立鹿港高中,公立,07,彰化縣,505,鹿港鎮,彰化縣鹿港鎮東石里中山路661號,,,5
110,高級中等學校,070319,070319,國立溪湖高中,公立,07,彰化縣,514,溪湖鎮,彰化縣溪湖鎮湖東里大溪路二段86號,,,5
110,高級中等學校,070401,070401,國立彰師附工,公立,07,彰化縣,500,彰化市,彰化縣彰化市和調里工校街1號,,,4
110,高級中等學校,070402,070402,國立永靖高工,公立,07,彰化縣,512,永靖鄉,彰化縣永靖鄉永北村永坡路101號,,,5
110,高級中等學校,070403,070403,國立二林工商,公立,07,彰化縣,526,二林鎮,彰化縣二林鎮豐田里斗苑路四段500號,,,6
110,高級中等學校,070405,070405,國立秀水高工,公立,07,彰化縣,504,秀水鄉,彰化縣秀水鄉福安村中山路364號,,,5
110,高級中等學校,070406,070406,國立彰化高商,公立,07,彰化縣,500,彰化市,彰化縣彰化市華陽里南郭路一段326號,,,4
110,高級中等學校,070408,070408,國立員林農工,公立,07,彰化縣,510,員林市,彰化縣員林市員水路二段313號,,,4
110,高級中等學校,070409,070409,國立員林崇實高工,公立,07,彰化縣,510,員林市,彰化縣員林市育英路103號,,,4
110,高級中等學校,070410,070410,國立員林家商,公立,07,彰化縣,510,員林市,彰化縣員林市中正路56號,,,4
110,高級中等學校,070415,070415,國立北斗家商,公立,07,彰化縣,521,北斗鎮,彰化縣北斗鎮大道里學府路50號,,,5
110,高級中等學校,071311,071311,私立精誠高中,私立,07,彰化縣,500,彰化市,彰化縣彰化市林森路200號,,,4
110,高級中等學校,071317,071317,私立文興高中,私立,07,彰化縣,520,田中鎮,彰化縣田中鎮員集路三段93號,,,5
110,高級中等學校,071318,071318,財團法人正德高中,私立,07,彰化縣,500,彰化市,彰化縣彰化市莿桐里彰水路145號,,,4
110,高級中等學校,071413,071413,私立大慶商工,私立,07,彰化縣,510,員林市,彰化縣員林市山腳路二段206號,,,4
110,高級中等學校,071414,071414,私立達德商工,私立,07,彰化縣,520,田中鎮,彰化縣田中鎮中南路二段277號,,,5
110,高級中等學校,074308,074308,縣立彰化藝術高中,公立,07,彰化縣,500,彰化市,彰化縣彰化市卦山路13號,,,4
